id,count
0,17.489883
1,217.63637
2,125.65191
3,43.05552
4,141.5579
5,295.13657
6,26.528217
7,152.83876
8,104.466736
9,112.47594
10,5.813888
11,145.69627
12,7.671132
13,17.071642
14,273.21582
15,120.871605
16,109.67522
17,248.2707
18,128.95218
19,156.73149
20,260.0496
21,173.11238
22,26.814772
23,90.16904
24,239.87329
25,69.25745
26,213.28833
27,137.7329
28,232.7002
29,129.93959
30,12.423696
31,49.389206
32,99.456184
33,162.27728
34,89.43887
35,312.5289
36,117.32573
37,131.11261
38,45.91447
39,177.08417
40,70.81025
41,156.74973
42,134.17781
43,223.04707
44,149.66582
45,217.95134
46,62.25893
47,15.565864
48,95.32553
49,33.89063
50,145.29338
51,207.6258
52,44.473972
53,135.70618
54,224.25021
55,18.719166
56,88.857796
57,95.8022
58,170.67662
59,261.03973
60,134.86935
61,144.82097
62,115.946465
63,102.5626
64,18.137047
65,143.50357
66,233.08955
67,132.87045
68,21.266966
69,19.004873
70,100.07247
71,231.20073
72,83.06882
73,245.27919
74,73.631645
75,102.905945
76,187.66977
77,4.9577503
78,235.6333
79,229.7083
80,118.04641
81,85.21287
82,116.56533
83,165.95341
84,249.76764
85,229.05055
86,295.5696
87,81.87936
88,38.51535
89,103.27319
90,107.15745
91,87.19698
92,195.47389
93,15.723693
94,62.83781
95,64.74067
96,201.22102
97,120.38795
98,29.039238
99,286.50342
100,228.74156
101,75.56315
102,32.97732
103,16.855852
104,260.07785
105,129.98451
106,18.122997
107,97.24686
108,197.32599
109,235.67703
110,79.99859
111,175.80775
112,69.10852
113,53.757244
114,149.89008
115,84.71457
116,132.33124
117,30.82085
118,91.435745
119,174.1832
120,141.61389
121,14.710265
122,160.2889
123,14.643616
124,116.855354
125,69.20346
126,23.062576
127,105.01629
128,18.224794
129,86.63766
130,125.03868
131,20.645117
132,91.45355
133,100.61068
134,23.72881
135,102.813324
136,64.45044
137,97.14931
138,175.72525
139,15.244883
140,75.90586
141,27.247475
142,159.33546
143,277.41486
144,31.926243
145,176.39824
146,37.507004
147,108.46312
148,25.94969
149,93.17019
150,84.04753
151,14.182393
152,10.630524
153,202.25189
154,47.699406
155,69.209236
156,25.189302
157,10.822908
158,80.651825
159,69.732056
160,231.1791
161,30.289417
162,168.56264
163,69.365
164,13.633507
165,230.692
166,159.67375
167,89.607185
168,12.986727
169,218.52518
170,153.58223
171,93.84169
172,278.91577
173,227.79321
174,21.282185
175,32.213852
176,127.49161
177,159.33664
178,189.6844
179,34.58546
180,7.753011
181,51.887566
182,83.16635
183,110.28342
184,115.258804
185,171.35347
186,5.919937
187,21.281843
188,59.88227
189,67.59966
190,22.9228
191,116.039696
192,94.76621
193,77.35024
194,11.512015
195,89.643036
196,45.756428
197,70.07625
198,21.88653
199,60.356323
200,194.39769
201,78.29491
202,111.34287
203,171.57469
204,84.14644
205,229.7605
206,86.56453
207,79.72415
208,182.70117
209,80.75243
210,93.24508
211,201.22946
212,181.43617
213,69.891525
214,80.75927
215,147.34708
216,276.5063
217,170.68945
218,140.67908
219,281.68927
220,157.62875
221,90.74413
222,289.4766
223,82.380066
224,109.69304
225,105.91101
226,154.31926
227,62.22905
228,48.699154
229,179.30693
230,20.603676
231,29.646461
232,237.98752
233,100.96014
234,253.04332
235,200.79262
236,187.12172
237,212.28162
238,27.85401
239,89.78879
240,108.71181
241,91.84893
242,158.03595
243,105.56554
244,60.393986
245,49.909733
246,152.94759
247,41.381325
248,40.633114
249,18.829275
250,117.899254
251,116.402565
252,26.848513
253,147.85162
254,64.02736
255,26.441715
256,14.43084
257,87.182434
258,167.47174
259,21.640354
260,96.83111
261,225.85469
262,130.88672
263,96.049995
264,349.47397
265,48.67262
266,90.59297
267,13.578871
268,118.7663
269,22.24488
270,141.04665
271,112.935165
272,94.583916
273,284.34384
274,111.58878
275,137.61682
276,124.77273
277,86.81338
278,75.90916
279,103.754654
280,57.602943
281,65.29258
282,24.352978
283,60.28529
284,106.5731
285,104.82272
286,94.89301
287,22.890665
288,27.852947
289,19.71825
290,17.182064
291,184.9439
292,106.937996
293,33.478424
294,113.468735
295,234.04126
296,91.27431
297,124.11642
298,205.4808
299,31.350264
300,84.600494
301,15.4879675
302,125.96334
303,184.71129
304,296.05014
305,42.114105
306,90.19156
307,136.56097
308,120.63208
309,144.32074
310,219.35715
311,15.527394
312,117.84906
313,213.19063
314,23.106867
315,201.06602
316,98.52262
317,9.2702465
318,126.24686
319,21.243425
320,10.43108
321,234.5047
322,22.455864
323,17.406591
324,17.147945
325,208.25974
326,240.28844
